,Rank,Name,Nation,Race 1,Race 2,Decider (i.r.)
0,Gold medal race,Gold medal race,Gold medal race,Gold medal race,Gold medal race,Gold medal race
1,,Matthew Glaetzer,Australia,X,X,
2,,Jack Carlin,Great Britain,+0.045,+0.098,
3,Bronze medal race,Bronze medal race,Bronze medal race,Bronze medal race,Bronze medal race,Bronze medal race
4,,Sebastien Vigier,France,X,X,
5,4,Maximilian Levy,Germany,+0.023,+0.090,
