,Rank,Name,Nation,Time,Behind,Notes
0,1.0,Harrie Lavreysen,Netherlands,9.253,,Q
1,2.0,Jeffrey Hoogland,Netherlands,9.322,+0.069,Q
2,3.0,Mateusz Rudyk,Poland,9.434,+0.181,Q
3,4.0,Denis Dmitriev,Russia,9.522,+0.269,Q
4,5.0,Azizulhasni Awang,Malaysia,9.548,+0.295,q
5,6.0,Nicholas Paul,Trinidad and Tobago,9.556,+0.303,q
6,7.0,Jason Kenny,Great Britain,9.561,+0.308,q
7,8.0,Yudai Nitta,Japan,9.562,+0.309,q
8,9.0,Quentin Caleyron,France,9.564,+0.311,q
9,10.0,Stefan Bötticher,Germany,9.568,+0.315,q
10,11.0,Matthijs Büchli,Netherlands,9.575,+0.322,q
11,12.0,Sebastien Vigier,France,9.595,+0.342,q
12,13.0,Tomohiro Fukaya,Japan,9.607,+0.354,q
13,14.0,Muhammad Shah Firdaus Sahrom,Malaysia,9.609,+0.356,q
14,15.0,Sam Webster,New Zealand,9.615,+0.362,q
15,16.0,Nathan Hart,Australia,9.624,+0.371,q
16,17.0,Matthew Richardson,Australia,9.628,+0.375,q
17,18.0,Sándor Szalontay,Hungary,9.650,+0.397,q
18,19.0,Jack Carlin,Great Britain,9.659,+0.406,q
19,20.0,Juan Peralta,Spain,9.668,+0.415,q
20,21.0,Jair Tjon En Fa,Suriname,9.668,+0.415,q
21,22.0,Zhou Yu,China,9.674,+0.421,q
22,23.0,Kevin Quintero,Colombia,9.682,+0.429,q
23,24.0,Xu Chao,China,9.693,+0.440,q
24,25.0,Sam Ligtlee,Netherlands,9.704,+0.451,q
25,26.0,Ethan Mitchell,New Zealand,9.753,+0.500,q
26,27.0,Hsieh Nien-hsing,Chinese Taipei,9.764,+0.511,q
27,28.0,Vasilijus Lendel,Lithuania,9.765,+0.512,q
28,29.0,Pavel Kelemen,Czech Republic,9.784,+0.531,
29,30.0,Law Tsz Chun,Hong Kong,9.807,+0.554,
30,31.0,Martin Čechman,Czech Republic,9.835,+0.582,
31,32.0,Santiago Ramírez,Colombia,9.936,+0.683,
32,33.0,Muhammad Fadhil Mohd Zonis,Malaysia,9.945,+0.692,
33,34.0,Jean Spies,South Africa,10.184,+0.931,
34,,Pavel Yakushevskiy,Russia,Did not finish,Did not finish,Did not finish
