,Rank,Name,Nation,Race 1,Race 2,Decider (i.r.)
0,Gold medal race,Gold medal race,Gold medal race,Gold medal race,Gold medal race,Gold medal race
1,,Harrie Lavreysen,Netherlands,X,X,
2,,Jeffrey Hoogland,Netherlands,+0.166,+0.032,
3,Bronze medal race,Bronze medal race,Bronze medal race,Bronze medal race,Bronze medal race,Bronze medal race
4,,Mateusz Rudyk,Poland,X,X,
5,4,Matthew Glaetzer,Australia,REL,+0.041,
