rank;name;country;Time 1;Speed 1;Time 2;Speed 2
1;99 MORTON Stephanie;AUS;10.895;66.085;11.355;63.408
2;378 STARIKOVA Olena;UKR;0.082;;0.04;
1;223 LEE Wai Sze;HKG;11.283;63.813;11.237;64.074
2;354 VOINOVA Anastasiia;RUS;0.184;;0.405;
1;180 GROS Mathilde;FRA;11.336;63.514;11.133;64.673
2;300 van RIESSEN Laurine;NED;0.011;;0.345;
1;214 FRIEDRICH Lea Sophie;GER;11.455;62.855;11.493;62.647
2;165 CALVO BARBERO Tania;ESP;0.064;;0.046;
