rank;name;country;time;speed
1;353 SHMELEVA Daria;RUS;12.292;58.575
2;346 ANTONOVA Natalia;RUS;0.006;
1;98 McCULLOCH Kaarle;AUS;11.722;61.423
2;388 MARQUARDT Mandy;USA;0.166;
1;216 HINZE Emma;GER;11.347;63.453
2;107 DEGRENDELE Nicky;BEL;0.544;
1;378 STARIKOVA Olena;UKR;11.704;61.517
2;150 BAYONA PINEDA Martha;COL;0.077;
1;311 HANSEN Natasha;NZL;11.578;62.187
2;261 KOBAYASHI Yuka;JPN;0.559;
1;354 VOINOVA Anastasiia;RUS;11.536;62.413
2;313 PODMORE Olivia;NZL;0.304;
1;300 van RIESSEN Laurine;NED;11.488;62.674
2;276 LEE Hyejin;KOR;0.049;
1;165 CALVO BARBERO Tania;ESP;11.507;62.571
2;129 GENEST Lauriane;CAN;0.058;
1;197 MARCHANT Katy;GBR;11.617;61.978
2;281 MAROZAITE Migle;LTU;0.097;
1;280 KRUPECKAITE Simona;LTU;11.279;63.835
2;144 LIN Junhong;CHN;0.056;
