Heat,Country,,,,,1000,2000,3000,Total,1000-2000,2000-3000,3000-4000,Speed,
1,1 AUS - Australia,3 EDMONDSON Annette,95 ANKUDINOFF Ashlee,96 BAKER Georgia,97 CURE Amy,01:07.58,02:08.72,03:10.73,04:14.33,01:01.14,01:02.01,01:03.60,56.619,51 MANLY Alexandra
1,2 GBR - Great Britain,18 KENNY Laura,194 ARCHIBALD Katie,195 BARKER Elinor,196 DICKINSON Eleanor,01:08.16,02:09.27,03:11.51,04:14.54,01:01.11,01:02.24,01:03.02,56.573,
2,3 NZL - New Zealand,309 DRUMMOND Michaela,308 BOTHA Bryony,310 EDMONDSTON Holly,312 JAMES Kirstie,01:08.73,02:10.56,03:13.13,04:16.48,01:01.83,01:02.57,01:03.35,56.145,36 BUCHANAN Rushlee
2,4 CAN - Canada,9 BEVERIDGE Allison,127 BONHOMME Ariane,128 FOREMAN-MACKEY Annie,131 SIMMERLING Georgia,01:08.95,02:11.81,03:15.73,04:20.32,01:02.86,01:03.92,01:04.59,55.316,
