rank;name;country;Time 1;Speed 1;Time 2;Speed 2
1;216 HINZE Emma;GER;10.958;65705;10.896;66079
2;295 van RIESSEN Laurine;NED;0.016;;0.141;
1;130 MITCHELL Kelsey;CAN;11.283;63813;11.267;63903
2;214 FRIEDRICH Lea Sophie;GER;0.007;0.01;;
1;346 VOINOVA Anastasiia;RUS;11.281;63824;11.223;64154
2;276 KRUPECKAITE Simona;LTU;0.12;;0.139;
1;226 LEE Wai Sze;HKG;11.224;64148;11.208;64240
2;281 GAXIOLA GONZALEZ Luz Daniela;MEX;0.062;;0.246;
