;;;;;;
1;216 HINZE Emma;GER;11.004;65431;10.906;66019
2;346 VOINOVA Anastasiia;RUS;0.187;;0.138;
;;;;;;
3;226 LEE Wai Sze;HKG;11.2;64286;10.965;65663
4;130 MITCHELL Kelsey;CAN;0.113;;0.107;
