rank,heat,name,country,time,speed
1,1,HINZE Emma,,11.121,64742
2,1,LEE Hyejin,KOR,11.249,
3,1,MORTON Stephanie,AUS,11.319,
4,1,LEE Wai Sze,HKG,11.448,
5,1,ANDREWS Ellesse,NZL,11.51,
6,1,FRIEDRICH Lea Sophie,GER,11.831,
1,2,van RIESSEN Laurine,NED,11.162,64505
2,2,MARCHANT Katy,GBR,11.232,
3,2,GROS Mathilde,FRA,11.292,
4,2,GODBY Madalyn,USA,01:22.12,
5,2,DEGRENDELE Nicky,BEL,01:21.85,
6,2,HANSEN Natasha,NZL,DNF,
