rank,heat,name,country,time,speed
1,1,MORTON Stephanie,AUS,11.447,62899
2,1,LEE Hyejin,KOR,11.481,
3,1,FRIEDRICH Lea Sophie,GER,11.522,
4,1,GROS Mathilde,FRA,11.557,
5,1,HANSEN Natasha,NZL,11.603,
6,1,van RIESSEN Laurine,NED,11.796,
1,2,HINZE Emma,GER,11.148,64586
2,2,LEE Wai Sze,HKG,11.191,
3,2,ANDREWS Ellesse,NZL,11.242,
4,2,MARCHANT Katy,GBR,11.244,
5,2,DEGRENDELE Nicky,BEL,11.309,
6,2,GODBY Madalyn,USA,11.364,
