rank;name;country;time;speed
1;287 LAVREYSEN Harrie;NED;9.948;72376
2;90 HART Nathan;AUS;0.347;
1;286 HOOGLAND Jeffrey;NED;9.808;73409
2;303 WEBSTER Sam;NZL;0.049;
1;315 RUDYK Mateusz;POL;9.945;72398
2;280 SAHROM Muhammad Shah Firdaus;MAS;0.001;
1;257 FUKAYA Tomohiro;JPN;9.782;73605
2;329 DMITRIEV Denis;RUS;0.396;
1;278 AWANG Mohd Azizulhasni;MAS;10.145;70971
2;353 TJON EN FA Jair;SUR;0.12;
1;284 BUCHLI Matthijs;NED;10.191;70651
2;358 PAUL Nicholas;TTO;0.048;
1;201 BOTTICHER Stefan;GER;10.053;71620
2;188 KENNY Jason;GBR;0.047;
1;261 NITTA Yudai;JPN;10.003;71978
2;167 CALEYRON Quentin;FRA;0.071;
