-,,102,ZIGART Urska,,,DNF
-,,103,KANEKO Hiromi,,,DNF
-,,104,YONAMINE Eri,,,DNF
-,,108,KONONENKO Valeriya,,,DNF
-,,112,OSHURKOVA Elizaveta,,,DNF
-,,115,KIDANE Desiet,,,DNF
-,,117,HARVEY Mikayla,,,DNF
-,,121,GAFINOVITZ Rotem,,,DNF
-,,123,VARGAS BARRIENTOS Maria Jose,,,DNF
-,,125,COSTA Alexi,,,DNF
-,,127,SCHWEINBERGER Kathrin,,,DNF
-,,129,AHUMADA RIQUELME Denisse,,,DNF
-,,130,de OLIVEIRA PAPARELLA Flavia Maria,,,DNF
-,,131,POLEGATCH Ana Paula,,,DNF
-,,133,NEUMANOVA Tereza,,,DNF
-,,135,PERINOVIC Maja,,,DNF
-,,136,RADOTIC Mia,,,DNF
-,,137,FASOI Varvara,,,DNF
-,,138,SHARPE Alice,,,DNF
-,,139,BACIKOVA Alzbeta,,,DNF
-,,140,MEDVEDOVA Tereza,,,DNF
-,,141,SAIFUTDINOVA Natalya,,,DNF
-,,142,UMUTZHANOVA Makhabbat,,,DNF
-,,143,MARTINS Maria,,,DNF
-,,144,BJORNSDOTTIR Agusta Edda,,,DNF
-,,145,DAVIDSON Skye,,,DNF
-,,146,LANG Mae,,,DNF
-,,147,GRANIZAL Fabiana,,,DNF
-,,148,YAPURA Fernanda,,,DNF
-,,149,ESPINOLA Agua Marina,,,DNF
-,,150,ALOMAIRI Noura,,,DNF
-,,151,ALYASEEN Latefa,,,DNF
-,,152,AU Hoi Ian,,,DNF
-,,88,HARSCH Anne-Sophie,,,DNS
