Heat,Name,Country,Time,Speed
1,223 LEE Wai Sze,HKG,11.092,64.912
1,180 GROS Mathilde,FRA,0.214,
1,McCULLOCH Kaarle,AUS,0.566,
1,387 GODBY Madalyn,USA,0.687,
1,280 KRUPECKAITE Simona,LTU,0.777,
1,107 DEGRENDELE Nicky,BEL,REL,
2,MORTON Stephanie,AUS,11.495,62.636
2,295 BRASPENNINCX Shanne,NED,0.066,
2,353 SHMELEVA Daria,RUS,0.143,
2,354 VOINOVA Anastasiia,RUS,0.2,
2,276 LEE Hyejin,KOR,0.22,
2,300 van RIESSEN Laurine,NED,0.512,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
