rank,country,Athlete 1,Athlete 2,Lap 1,total,speed,Lap 2,Athlete 3
1,1 GER - Germany,GRABOSCH Pauline Sophie,HINZE Emma,18.771,32.163,55965,13.392,FRIEDRICH Lea Sophie
2,2 AUS - Australia,McCULLOCH Kaarle,MORTON Stephanie,18.852,32.384,55583,13.532,
3,3 CHN - China,CHEN Feifei,ZHONG Tianshi,18.856,32.371,55605,13.515,
4,4 RUS - Russian Federation,SHMELEVA Daria,VOINOVA Anastasiia,18.561,32.466,55443,13.905,
