rank,heat,name,country,time,speed
1,1,LEE Wai Sze,HKG,11.012,65.383
2,1,McCULLOCH Kaarle,AUS,11.13,
3,1,SHMELEVA Daria,RUS,11.2,
4,1,MORTON Stephanie,AUS,11.298,
5,1,BRASPENNINCX Shanne,NED,11.381,
6,1,GROS Mathilde,FRA,11.444,
1,2,van RIESSEN Laurine,NED,11.138,64.644
2,2,GODBY Madalyn,USA,11.396,
3,2,LEE Hyejin,KOR,11.421,
4,2,DEGRENDELE Nicky,BEL,11.48,
5,2,VOINOVA Anastasiia,RUS,11.505,
6,2,KRUPECKAITE Simona,LTU,11.633,
