rank,heat,name,country,time,speed
1,1,LEE Wai Sze,HKG,11.092,64.912
2,1,GROS Mathilde,FRA,11.306,
3,1,McCULLOCH Kaarle,AUS,11.658,
4,1,GODBY Madalyn,USA,11.779,
5,1,KRUPECKAITE Simona,LTU,11.869,
6,1,DEGRENDELE Nicky,BEL,REL,
1,2,MORTON Stephanie,AUS,11.495,62.636
2,2,BRASPENNINCX Shanne,NED,11.561,
3,2,SHMELEVA Daria,RUS,11.638,
4,2,VOINOVA Anastasiia,RUS,11.695,
5,2,LEE Hyejin,KOR,11.715,
6,2,van RIESSEN Laurine,NED,12.007,
