rank,name,country
1,WILD Kirsten,NED
2,PATERNOSTER Letizia,ITA
3,KAJIHARA Yumi,JPN
4,D'HOORE Jolien,BEL
5,MARTINS Maria,POR
6,BAKER Georgia,AUS
7,DIDERIKSEN Amalie,DEN
8,PIKULIK Daria,POL
9,STENBERG Anita Yvonne,NOR
10,WANG Xiaofei,CHN
11,KENNY Laura,GBR
12,WALDIS Andrea,SUI
13,BOYLAN Lydia,IRL
14,EDMONDSTON Holly,NZL
15,BALEISYTE Olivija,LTU
16,SHARAKOVA Tatsiana,BLR
17,COPPONI Clara,FRA
18,ZABELINSKAYA Olga,UZB
19,LEE Sze Wing,HKG
20,VALENTE Jennifer,USA
21,SULTANOVA Rinata,KAZ
