Rank,Country,Name Black,Name Red,1,2,3,4,5,6,7,8,9,10,11,12,Lap Balance,Finish Order,Points
1, NED,WILD Kirsten,PIETERS Amy,3,5,3,5,5,3,,3,3,,3,,,5,33
2, AUS,BAKER Georgia,CURE Amy,5,,1,2,,2,5,,5,5,2,4,,3,31
3, DEN,DIDERIKSEN Amalie,LETH Julie,,3,,3,,,1,,2,,5,10,,1,24
4, GBR,EVANS Neah,BARKER Elinor,1,,5,,,1,,5,1,,,2,,4,15
5, ITA,PATERNOSTER Letizia,CONFALONIERI Maria Giulia,2,,,1,,5,2,1,,3,,,,11,14
6, RUS,BADYKOVA Gulnaz,NOVOLODSKAYA Mariia,,,,,3,,,,,,,6,,2,9
7, BEL,KOPECKY Lotte,D'HOORE Jolien,,,2,,,,3,2,,1,,,,7,8
8, POL,PIKULIK Daria,PIKULIK Wiktoria,,1,,,1,,,,,2,1,,,6,5
9, IRL,McCURLEY Shannon,BOYLAN Lydia,,,,,2,,,,,,,,,8,2
10,FRA,COPPONI Clara,JEULAND Pascale,,,,,,,,,,,,,,14,2
11,JPN,KAJIHARA Yumi,FURUYAMA Kie,,2,,,,,,,,,,,,9,0
12,SUI,METTRAUX Lena,SEITZ Aline,,,,,,,,,,,,,,10,0
13,UKR,SOLOVEI Ganna,NAHIRNA Anna,,,,,,,,,,,,,,12,0
14,MEX,SALAZAR VAZQUEZ Lizbeth Y.,ARREOLA NAVARRO Sofia,,,,,,,,,,,,,-20,13,-20
15,HKG,LEUNG Bo Yee,PANG Yao,,,,,,,,,,,,,-40,,DNF
16,NZL,DRUMMOND Michaela,SHEATH Racquel,,,,,,,,,,,,,,,
17,CZE,HOCHMANN Lucie,KOHOUTKOVA Katerina,,,,,,,,,,,,,,,
18,CAN,BEVERIDGE Allison,GIBSON Kinley,,,,,,,,,,,,,,,
