,Heat,Rank,Name,Nation,Race 1,Race 2,Decider (i.r.),Notes
0,1,1,Stephanie Morton,Australia,X,X,,Q
1,1,2,Lea Friedrich,Germany,+0.156,+0.154,,
2,2,1,Lee Wai Sze,Hong Kong,X,X,,Q
3,2,2,Mathilde Gros,France,+0.047,+0.052,,
