rank;name;country;Time 1;Speed 1;Time 2;Speed 2
1;287 LAVREYSEN Harrie;NED;9.974;72188;9.783;73597
2;261 NITTA Yudai;JPN;0.106;;0.151;
1;286 HOOGLAND Jeffrey;NED;9.89;72801;9.776;73650
2;201 BOTTICHER Stefan;GER;0.126;;0.15;
1;315 RUDYK Mateusz;POL;10.085;71393;10.073;71478
2;284 BUCHLI Matthijs;NED;0.131;;0.185;
1;278 AWANG Mohd Azizulhasni;MAS;9.998;72014;10.071;71492
2;257 FUKAYA Tomohiro;JPN;0.083;;0;
