name,country,discipline
Yana BELOMOYNA,"UKR, ",Mountain Bike
Anne TERPSTRA,"NED, ",Mountain Bike
Iryna POPOVA,"UKR, ",Mountain Bike
Lars FORSTER,"SUI, ",Mountain Bike
Elisabeth OSL,"AUT, ",Mountain Bike
Moritz MILATZ,"GER, ",Mountain Bike
Paula GORYCKA,"POL, ",Mountain Bike
Ondrej CINK,"CZE, ",Mountain Bike
Roger PERSSON,"SWE, ",Mountain Bike
Alla YEPIFANOVA,"RUS, ",Mountain Bike
Ragnhild KOSTOLL,"NOR, ",Mountain Bike
Gary FOORD,"GBR, ",Mountain Bike
Ryder HESJEDAL,"CAN, ",Road Cycling
Jakob Diemer FUGLSANG,"DEN, ",Mountain Bike
Federico RAMIREZ,"CRC, ",Mountain Bike
Kashi LEUCHS,"NZL, ",Mountain Bike
Hedda ZU PUTLITZ,"GER, ",Mountain Bike
Tom LARSEN,"NOR, ",Mountain Bike
Peter Riis ANDERSEN,"DEN, ",Mountain Bike
Karen MATAMOROS,"CRC, ",Mountain Bike
Robin SEYMOUR,"IRL, ",Mountain Bike
Jesper AGERGAARD,"DEN, ",Mountain Bike
Gunn-Rita DAHLE,"NOR, ",Mountain Bike
Cedric RAVANEL,"FRA, ",Mountain Bike
Yana BELOMOYNA,"UKR, ",Mountain Bike
Anne TERPSTRA,"NED, ",Mountain Bike
Iryna POPOVA,"UKR, ",Mountain Bike
Lars FORSTER,"SUI, ",Mountain Bike
Elisabeth OSL,"AUT, ",Mountain Bike
Moritz MILATZ,"GER, ",Mountain Bike
Paula GORYCKA,"POL, ",Mountain Bike
Ondrej CINK,"CZE, ",Mountain Bike
Roger PERSSON,"SWE, ",Mountain Bike
Alla YEPIFANOVA,"RUS, ",Mountain Bike
Ragnhild KOSTOLL,"NOR, ",Mountain Bike
Gary FOORD,"GBR, ",Mountain Bike
Ryder HESJEDAL,"CAN, ",Road Cycling
Jakob Diemer FUGLSANG,"DEN, ",Mountain Bike
Federico RAMIREZ,"CRC, ",Mountain Bike
Kashi LEUCHS,"NZL, ",Mountain Bike
Hedda ZU PUTLITZ,"GER, ",Mountain Bike
Tom LARSEN,"NOR, ",Mountain Bike
Peter Riis ANDERSEN,"DEN, ",Mountain Bike
Karen MATAMOROS,"CRC, ",Mountain Bike
Robin SEYMOUR,"IRL, ",Mountain Bike
Jesper AGERGAARD,"DEN, ",Mountain Bike
Gunn-Rita DAHLE,"NOR, ",Mountain Bike
Cedric RAVANEL,"FRA, ",Mountain Bike
Yana BELOMOYNA,"UKR, ",Mountain Bike
Anne TERPSTRA,"NED, ",Mountain Bike
Iryna POPOVA,"UKR, ",Mountain Bike
Lars FORSTER,"SUI, ",Mountain Bike
Elisabeth OSL,"AUT, ",Mountain Bike
Moritz MILATZ,"GER, ",Mountain Bike
Paula GORYCKA,"POL, ",Mountain Bike
Ondrej CINK,"CZE, ",Mountain Bike
Roger PERSSON,"SWE, ",Mountain Bike
Alla YEPIFANOVA,"RUS, ",Mountain Bike
Ragnhild KOSTOLL,"NOR, ",Mountain Bike
Gary FOORD,"GBR, ",Mountain Bike
Ryder HESJEDAL,"CAN, ",Road Cycling
Jakob Diemer FUGLSANG,"DEN, ",Mountain Bike
Federico RAMIREZ,"CRC, ",Mountain Bike
Kashi LEUCHS,"NZL, ",Mountain Bike
Hedda ZU PUTLITZ,"GER, ",Mountain Bike
Tom LARSEN,"NOR, ",Mountain Bike
Peter Riis ANDERSEN,"DEN, ",Mountain Bike
Karen MATAMOROS,"CRC, ",Mountain Bike
Ralph NAEF,"SUI, ",Mountain Bike
Marco Aurelio FONTANA,"ITA, ",Mountain Bike
Maxime MAROTTE,"FRA, ",Mountain Bike
Aleksandra DAWIDOWICZ,"POL, ",Mountain Bike
Raphael GAGNE,"CAN, ",Mountain Bike
David VALERO SERRANO,"ESP, ",Mountain Bike
Peter LOMBARD II,"GUM, ",Mountain Bike
Leandre BOUCHARD,"CAN, ",Mountain Bike
Rie KATAYAMA,"JPN, ",Mountain Bike
Ralph BERNER,"GER, ",Mountain Bike
Mary GRIGSON,"AUS, ",Mountain Bike
Robert WOODS,"AUS, ",Mountain Bike
Roberto LEZAUN,"ESP, ",Mountain Bike
Marios ATHANASIADIS,"CYP, ",Mountain Bike
Magdalena SADLECKA,"POL, ",Mountain Bike
Kenji TAKEYA,"JPN, ",Mountain Bike
Bas PETERS,"NED, ",Mountain Bike
Blaza KLEMENCIC,"SLO, ",Mountain Bike
Jimena FLORIT,"ARG, ",Mountain Bike
