,name,country,discipline
921,Guy Kent TROY,"USA, ",Modern Pentathlon
922,William Thad MCARTHUR,"USA, ",Modern Pentathlon
923,Peter Conover HAINS,"USA, ",Modern Pentathlon
924,Richard Louis GRUENTHER,"USA, ",Modern Pentathlon
925,Charles Fredrick LEONARD,"USA, ",Modern Pentathlon
926,Jack Michael G. LUMSDEN,"GBR, ",Modern Pentathlon
927,Michael Earle STORM,"USA, ",Modern Pentathlon
928,Dean William GLENESK,"USA, ",Modern Pentathlon
929,Jörg TSCHERNER,"GDR, ",Modern Pentathlon
930,Karl-Heinz KUTSCHKE,"GDR, ",Modern Pentathlon
931,Hans Jurgen TODT,"FRG, ",Modern Pentathlon
932,Donald SCOTT,"USA, ",Athletics
933,Frederick Reginia WEBER,"USA, ",Modern Pentathlon
934,Brookner West BRADY,"USA, ",Modern Pentathlon
935,Karl LEBAN,"AUT, ",Modern Pentathlon
936,Keijo Klaus VANHALA,"FIN, ",Modern Pentathlon
937,John HAWES,"CAN, ",Modern Pentathlon
938,Benny Gotfred SCHMIDT,"DEN, ",Modern Pentathlon
939,Ondrej POLIVKA,"CZE, ",Modern Pentathlon
940,Walter ESSER,"FRG, ",Modern Pentathlon
941,Jean-Pierre GIUDICELLI,"FRA, ",Modern Pentathlon
942,Marcus MARSOLLEK,"FRG, ",Modern Pentathlon
943,Hole RÖSSLER,"FRG, ",Modern Pentathlon
944,Jan H.J. BEKKENK,"NED, ",Modern Pentathlon
945,Svante RASMUSON,"SWE, ",Modern Pentathlon
946,Janusz PYCIAK-PECIAK,"POL, ",Modern Pentathlon
947,Zhenhua QIAN,"CHN, ",Modern Pentathlon
948,Chad SENIOR,"USA, ",Modern Pentathlon
949,Velizar ILIEV,"USA, ",Modern Pentathlon
950,Katalin-Mpeat PARTITS,"GRE, ",Modern Pentathlon
951,Juan Jose CASTILLA RAMOS,"MEX, ",Modern Pentathlon
952,Nigel CLARK,"GBR, ",Modern Pentathlon
953,Ricardo Yamil VERA REYES,"MEX, ",Modern Pentathlon
954,Do Ryung HAN,"KOR, ",Modern Pentathlon
955,Acelio MORROT COELHO,"BRA, ",Modern Pentathlon
956,C. J. VANNEROM,"BEL, ",Modern Pentathlon
957,Vakhtang YAGORASHVILI,"SUN, ",Modern Pentathlon
958,German YUFEROV,"SUN, ",Modern Pentathlon
959,Boris ONISHENKO,"SUN, ",Modern Pentathlon
960,Viktor MINEEV,"SUN, ",Modern Pentathlon
961,Jervis Joscelyn PERCY,"GBR, ",Modern Pentathlon
962,Carlos Alberto VELASQUEZ,"ARG, ",Modern Pentathlon
963,Erik DE LAVAL,"SWE, ",Modern Pentathlon
964,Emily DE RIEL,"USA, ",Modern Pentathlon
965,David Archer KIRKWOOD,"USA, ",Modern Pentathlon
966,J. L. M. VAN LOOCKE,"BEL, ",Modern Pentathlon
967,Archibald Frank M. JACK,"GBR, ",Modern Pentathlon
