rank;name;country;time;speed
1;216 HINZE Emma;GER;11.007;65413
2;363 STARIKOVA Olena;UKR;0.132;
1;214 FRIEDRICH Lea Sophie;GER;11.299;63722
2;265 KOBAYASHI Yuka;JPN;0.387;
1;346 VOINOVA Anastasiia;RUS;11.105;64836
2;291 BRASPENNINCX Shanne;NED;0.029;
1;226 LEE Wai Sze;HKG;11.206;64251
2;143 ZHONG Tianshi;CHN;0.125;
1;281 GAXIOLA GONZALEZ Luz Daniela;MEX;11.207;64246
2;101 MORTON Stephanie;AUS;0.004;
1;276 KRUPECKAITE Simona;LTU;11.15;64574
2;129 GENEST Lauriane;CAN;0.041;
1;130 MITCHELL Kelsey;CAN;11.102;64853
2;199 MARCHANT Katy;GBR;0.037;
1;295 van RIESSEN Laurine;NED;11.132;64678
2;181 GROS Mathilde;FRA;0.049;
