rank,heat,name,country,time,speed
1,1,GROS Mathilde,FRA,11.682,61.633
2,1,KRUPECKAITE Simona,LTU,11.722,
3,1,BRASPENNINCX Shanne,NED,11.746,
4,1,SHMELEVA Daria,RUS,11.77,
5,1,LIN Junhong,CHN,13.532,
6,1,LEE Hoi Yan Jessica,HKG,DNF,
1,2,MORTON Stephanie,AUS,11.156,64.539
2,2,LEE Wai Sze,HKG,11.248,
3,2,McCULLOCH Kaarle,AUS,11.272,
4,2,VOINOVA Anastasiia,RUS,11.308,
5,2,KOBAYASHI Yuka,JPN,11.386,
6,2,MARCHANT Katy,GBR,11.435,
1,3,LEE Hyejin,KOR,11.821,60.909
2,3,van RIESSEN Laurine,NED,11.841,
3,3,GODBY Madalyn,USA,11.845,
4,3,DEGRENDELE Nicky,BEL,11.845,
5,3,GENEST Lauriane,CAN,12.003,
6,3,OHTA Riyu,JPN,12.802,
