heat,name,country,time,speed
1,216 HINZE Emma,,11.121,64742
1,273 LEE Hyejin,KOR,0.128,
1,101 MORTON Stephanie,AUS,0.198,
1,226 LEE Wai Sze,HKG,0.327,
1,304 ANDREWS Ellesse,NZL,0.389,
1,214 FRIEDRICH Lea Sophie,GER,0.71,
2,295 van RIESSEN Laurine,NED,11.162,64505
3,199 MARCHANT Katy,GBR,0.07,
4,181 GROS Mathilde,FRA,0.13,
5,367 GODBY Madalyn,USA,01:22.12,
6,110 DEGRENDELE Nicky,BEL,01:21.85,
7,307 HANSEN Natasha,NZL,DNF,
