heat,name,country,time,speed
1,101 MORTON Stephanie,AUS,11.447,62899
1,273 LEE Hyejin,KOR,0.034,
1,214 FRIEDRICH Lea Sophie,GER,0.075,
1,181 GROS Mathilde,FRA,0.11,
1,307 HANSEN Natasha,NZL,0.156,
1,295 van RIESSEN Laurine,NED,0.349,
2,216 HINZE Emma,GER,11.148,64586
2,226 LEE Wai Sze,HKG,0.043,
2,304 ANDREWS Ellesse,NZL,0.094,
2,199 MARCHANT Katy,GBR,0.096,
2,110 DEGRENDELE Nicky,BEL,0.161,
2,367 GODBY Madalyn,USA,0.216,
