rank,Country,Athlete 1,Athlete 2,Lap 1,Total,Speed,Lap 2,Athlete 3
1,GER,GRABOSCH Pauline Sophie,HINZE Emma,18.771,32.163,55965,13.392,FRIEDRICH Lea Sophie
2,AUS,McCULLOCH Kaarle,MORTON Stephanie,18.852,32.384,55583,13.532,
3,CHN,CHEN Feifei,ZHONG Tianshi,18.856,32.371,55605,13.515,
4,RUS,SHMELEVA Daria,VOINOVA Anastasiia,18.561,32.466,55443,13.905,
