rank,name,country,1000,2000,total,1000-2000,2000-3000,speed
1,DYGERT Chloe,USA,1:08.213 (1),2:11.632 (1),03:16.94,1:03.419 (1),1:05.305 (1),"54,840 WR"
2,BRENNAUER Lisa,GER,1:09.066 (2),2:14.155 (2),03:23.23,1:05.089 (2),1:09.074 (2),53142
3,BRAUSSE Franziska,,1:13.011 (2),2:18.452 (1),03:24.28,1:05.441 (1),1:05.832 (1),52868
4,KLEIN Lisa,,1:12.633 (1),2:19.079 (2),03:26.34,1:06.446 (2),1:07.263 (2),52340
