rank ;name;country;Time 1;Speed 1;Time 2;Speed 2
1;287 LAVREYSEN Harrie;NED;9.842;73156;9.904;72698
2;278 AWANG Mohd Azizulhasni;MAS;0.475;;0.33;
;;;;;;
1;286 HOOGLAND Jeffrey;NED;9.761;73763;9.808;73409
2;315 RUDYK Mateusz;POL;0.653;;0.113;
